id,Accuracy Score (Agglomerative),Macro-F1 Score (Agglomerative),Weighted-F1 Score (Agglomerative),Macro-Precision Score (Agglomerative),Weighted-Precision Score (Agglomerative),Macro-Recall Score (Agglomerative),Weighted-Recall Score (Agglomerative),Accuracy Score (k-Medoids),Macro-F1 Score (k-Medoids),Weighted-F1 Score (k-Medoids),Macro-Precision Score (k-Medoids),Weighted-Precision Score (k-Medoids),Macro-Recall Score (k-Medoids),Weighted-Recall Score (k-Medoids),Best Clustering Match (Agglomerative Clustering) [Proposed] Alignment Score,Best Clustering Match (k-Medoids) [Proposed] Alignment Score,Silhouette score (Expected),Silhouette score (Agglomerative Clustering),RND score (Agglomerative Clustering),Purity (Agglomerative Clustering),Silhouette score (k-Medoids),RND score (k-Medoids),Purity (k-Medoids)
cat_mouse_SimpleGraph,0.50,0.49,0.38,0.44,0.35,0.67,0.50,0.50,0.49,0.38,0.44,0.35,0.67,0.50,1.00,1.00,0.17,0.17,1.00,1.00,0.17,1.00,1.00
cat_mouse_LogicalGraph,0.39,0.38,0.30,0.34,0.27,0.52,0.39,0.39,0.38,0.30,0.34,0.27,0.52,0.39,1.00,1.00,0.15,0.15,1.00,1.00,0.15,1.00,1.00
cat_mouse_T1_FullText_all-MiniLM-L6-v2,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.38,0.38,-0.23,0.55,-0.15,0.67,0.55,0.38,0.38
cat_mouse_T2_FullText_all-MiniLM-L12-v2,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.38,0.38,-0.18,0.51,-0.15,0.67,0.51,0.38,0.38
cat_mouse_T3_FullText_all-mpnet-base-v2,0.50,0.50,0.47,0.65,0.75,0.61,0.50,0.50,0.50,0.47,0.65,0.75,0.61,0.50,0.38,0.38,-0.28,0.63,-0.15,0.67,0.63,0.38,0.38
cat_mouse_T4_FullText_all-roberta-large-v1,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.56,0.57,0.53,0.57,0.58,0.64,0.56,0.38,0.38,-0.25,0.62,-0.15,0.67,0.62,0.38,0.38
cat_mouse_T5_FullText_AMR-LE-DeBERTa-V2-XXLarge-Contraposition-Double-Negation-Implication-Commutative-Pos-Neg-1-3,0.19,0.13,0.09,0.09,0.06,0.29,0.19,0.19,0.13,0.09,0.09,0.06,0.29,0.19,0.50,0.46,-0.39,0.53,-0.15,0.67,0.54,0.46,0.46
cat_mouse_T6_FullText_colbertv2.0,0.39,0.36,0.27,0.29,0.23,0.53,0.39,0.39,0.36,0.27,0.29,0.23,0.53,0.39,0.67,0.67,-0.06,0.23,-0.15,0.67,0.23,0.67,0.67
cat_mouse_Logical,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,1.00,1.00,0.67,1.00,1.00
cat_mouse_SimpleGraphDisabledAdHoc,0.50,0.49,0.38,0.44,0.35,0.67,0.50,0.50,0.49,0.38,0.44,0.35,0.67,0.50,1.00,1.00,0.17,0.17,1.00,1.00,0.17,1.00,1.00
cat_mouse_LogicalGraphDisabledAdHoc,0.39,0.38,0.30,0.34,0.27,0.52,0.39,0.39,0.38,0.30,0.34,0.27,0.52,0.39,1.00,0.75,0.15,0.15,1.00,1.00,0.11,0.75,0.75
cat_mouse_LogicalDisabledAdHoc,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,1.00,1.00,0.67,1.00,1.00
